NDB_No,Shrt_Desc,Energ_Kcal,Energ_Kcal,Protein_(g),Carbohydrt_(g),Vit_C_(mg),Sodium_(mg),Calcium_(mg),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
15155,"ABALONE,MIXED SPECIES,RAW",105,105,17.1,6.01,2,301,31,85,85,3 oz,,
15156,"ABALONE,MXD SP,CKD,FRIED",189,189,19.63,11.05,1.8,591,37,94,85,3 oz,,
9427,"ABIYUCH,RAW",69,69,1.5,17.6,54.1,20,8,,114,.5 cup,,
9002,"ACEROLA JUICE,RAW",23,23,0.4,4.8,_,3,10,0,242,1 cup,30.2,1 fl oz
9001,"ACEROLA,(WEST INDIAN CHERRY),RAW",32,32,0.4,7.69,1677.6,7,12,0,98,1 cup,4.8,"1 fruit, without refuse"
12060,"ACORN FLOUR,FULL FAT",501,501,7.49,54.65,0,0,43,0,28.35,1 oz,,
35182,ACORN STEW (APACHE),95,95,6.81,9.22,0,130,14,20,,,,
12059,"ACORNS,DRIED",509,509,8.1,53.66,0,0,54,0,28.35,1 oz,,
12058,"ACORNS,RAW",387,387,6.15,40.75,0,0,41,0,28.35,1 oz,,
35193,"AGAVE,CKD (SOUTHWEST)",135,135,0.99,32,0.3,13,460,0,,,,
35194,"AGAVE,DRIED (SOUTHWEST)",341,341,1.71,81.98,0.3,14,770,0,,,,
35192,"AGAVE,RAW (SOUTHWEST)",68,68,0.52,16.23,4,14,417,0,,,,
35225,"AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",470,470,9,10.5,,24,,26,,,,
35001,"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",353,353,3.4,13.4,2.9,21,8,10,,,,
35003,"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",258,258,21.7,0.9,2.2,95,16,89,,,,
14533,"ALCOHOLIC BEV DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 100PROOF",295,295,0,0,0,1,0,0,27.8,1 fl oz,42,1.5 fl oz
14006,"ALCOHOLIC BEV,BEER,LT",29,29,0.24,1.64,0,4,4,0,29.5,1 fl oz,354,"1 can,  or bottle (12 fl oz)"
14007,"ALCOHOLIC BEV,BEER,LT,BUD LT",29,29,0.25,1.3,,3,3,0,29.5,1 fl oz,354,12 fl oz
14005,"ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL",28,28,0.2,0.87,,3,4,0,29.5,1 fl oz,355,12 fl oz
14248,"ALCOHOLIC BEV,BEER,LT,HIGHER ALCOHOL",46,46,0.25,0.77,0,4,4,0,356,12 fl oz,,
14013,"ALCOHOLIC BEV,BEER,LT,LO CARB",27,27,0.17,0.73,0,3,4,0,29.5,1 fl oz,354,12 fl oz
14003,"ALCOHOLIC BEV,BEER,REG,ALL",43,43,0.46,3.55,0,4,4,0,29.7,1 fl oz,356,1 can
14004,"ALCOHOLIC BEV,BEER,REG,BUDWEISER",41,41,0.36,2.97,,3,4,0,29.8,1 fl oz,357,12 fl oz
14034,"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",371,371,0,41.6,0,5,0,0,33.6,1 fl oz,50,"1 jigger,  1.5 fl oz"
14009,"ALCOHOLIC BEV,DAIQUIRI,CND",125,125,0,15.7,1.3,40,0,0,30.5,1 fl oz,207,"1 can,  (6.8 fl oz, 200 ml)"
14010,"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",186,186,0.06,6.94,1.6,5,3,0,30.2,1 fl oz,60,"1 cocktail,  (2 fl oz)"
14037,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",231,231,0,0,0,1,0,0,27.8,1 fl oz,42,"1 jigger,  (1.5 fl oz)"
14550,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",250,250,0,0.1,0,1,0,0,27.8,1 fl oz,42,"1 Jigger,  1.5 fl oz"
14551,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",263,263,0,0,0,1,0,0,27.8,1 fl oz,42,1.5 fl oz
14532,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",275,275,0,0,0,1,0,0,27.8,1 fl oz,42,1.5 fl oz
14049,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",263,263,0,0,0,2,0,0,27.8,1 fl oz,42,"1 jigger,  (1.5 fl oz)"
14050,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",231,231,0,0,0,1,0,0,27.8,1 fl oz,42,1.5 fl oz
14051,"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",231,231,0,0,0,1,0,0,27.8,1 fl oz,42,1.5 fl oz
14052,"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",250,250,0,0.1,0,0,0,0,27.8,1 fl oz,42,"1 jigger,  (1.5 fl oz)"
14415,"ALCOHOLIC BEV,LIQUEUR,COFFEE W/ CRM,34 PROOF",327,327,2.8,20.9,0.2,92,16,58,31.1,1 fl oz,47,1.5 fl oz
14414,"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",336,336,0.1,46.8,0,8,1,0,34.8,1 fl oz,52,"1 serving,  1.5 fl oz"
14534,"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",308,308,0.1,32.2,0,8,1,0,34.8,1 fl oz,52,1.5 fl oz
14239,"ALCOHOLIC BEV,MALT BEER,HARD LEMONADE",68,68,0,10.07,2.8,5,4,0,335,11.2 fl oz,,
14015,"ALCOHOLIC BEV,PINA COLADA,CND",237,237,0.6,27.6,1.5,71,1,0,32.6,1 fl oz,222,"1 can,  (6.8 fl oz, 200 ml)"
14017,"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",174,174,0.42,22.66,4.9,6,8,0,31.4,1 fl oz,141,"1 cocktail,  (4.5 fl oz)"
43479,"ALCOHOLIC BEV,RICE (SAKE)",134,134,0.5,5,0,2,5,0,29.1,1 fl oz,,
14019,"ALCOHOLIC BEV,TEQUILA SUNRISE,CND",110,110,0.3,11.3,19.3,57,0,0,31.1,1 fl oz,211,"1 can,  (6.8 fl oz, 200 ml)"
14531,"ALCOHOLIC BEV,WHISKEY SOUR",149,149,0,13.17,1.6,20,1,0,30.4,1 fl oz,106,"1 portion,  (2 oz mix + 1.5 oz whiskey)"
14027,"ALCOHOLIC BEV,WHISKEY SOUR,CND",119,119,0,13.4,1.6,44,0,0,30.8,1 fl oz,209,"1 can,  (6.8 fl oz, 200 ml)"
14029,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",153,153,0.06,12.82,1.6,61,1,0,30.4,1 fl oz,106,"1 portion,  (2 oz mix + 1.5 oz whiskey)"
