No,Nama,Kalori,Protein ,Karbohidrat,Vit.C,Air,Kalsium,Lemak,Porsi,Berat (g)
1,Belitung kukus,145,1.2,34.2,1,63.1,21,0.4,1 potong,61.4
2,Belitung mentah,145,1.2,34.2,2,63.1,26,0.4,1 potong,73.4
3,Beras Giling ,360,6.8,78.9,0,13,6,0.7,1 gelas,70
4,Beras Giling masak (nasi) ,178,2.1,40.6,0,57,5,0.1,3/4 gelas,100
5,Beras Ketan Hitam,356,7,78,0,13,10,0.7,1 gelas,177
6,Beras Ketan Hitam kukus,181,4,37.3,0,56.9,9,1.2,1 gelas,171.4
7,Beras Ketan Hitam tape,166,3.8,34.4,0,50.2,8,1,1/3 gelas,44
8,Beras Ketan Hitam tumbuk,360,8,74.5,0,13.7,10,2.3,1 gelas,168.8
9,Beras Ketan Putih,362,6.7,79.4,0,12,12,0.7,1 gelas,169.4
10,Beras Ketan Putih kukus,163,3,35.7,0,60.7,4,0.4,1 gelas,162.6
11,Beras Ketan Putih tape,172,3,37.5,0,58.9,6,0.5,1/3 gelas,47
12,Beras Ketan Putih tumbuk,361,7.4,78.4,0,12.9,13,0.8,1 gelas,197
13,Beras Menir,339,7.7,73,0,12,22,4.4,1 sdm,22
14,Beras Merah tumbuk,359,7.5,77.6,0,13,16,0.9,1 gelas,153
15,Beras Pecah Kulit,335,7.4,76.2,0,13.2,12,1.9,1 gelas,271
16,Beras Setengah Giling,363,7.6,78.3,0,12,11,1.1,1 gelas,100
17,Beras Parboiled,364,6.8,80.1,0,12,5,0.6,1 gelas,188.2
18,Bihun,360,4.7,82.1,0,12.9,6,0.1,1 gelas,100
19,Biskuit,458,6.9,75.1,0,2.2,62,14.4,1 buah,10
20,Centel,332,11,73,0,11,28,3.3,1 gelas,73
21,Gadung kukus,88,0.8,20.9,0,77.4,26,0.3,1 mangkok,315
22,Gadung mentah,101,2.1,23.2,9,73.5,20,0.2,1 potong,105
23,Ganyong kukus,100,0.8,23.8,6,74.1,15,0.2,1 buah,17.6
24,Ganyong mentah,95,1,22.6,10,75,21,0.1,1 buah ,20.6
25,Gaplek,338,1.5,81.3,0,14.5,80,0.7,1 potong,31.8
26,Gembili,95,1.5,22.4,4,75,14,0.1,1 potong,111
27,Havermout,390,14.2,68.2,0,8.3,53,7.4,1 sdm,8.2
28,Jagung Kuning giling,361,8.7,72.4,0,13.1,9,4.5,1 gelas,122.4
29,Jagung Kuning muda,129,4.1,30.3,9,63.5,5,1.3,1 buah,131
30,Jagung Kuning pipil baru,307,7.9,63.6,0,24,9,3.4,1 gelas,138.2
31,Jagung Kuning pipil lama,355,9.2,73.7,0,12,10,3.9,1 gelas,150.6
32,Jagung Kuning segar,140,4.7,33.1,8,60,6,1.3,1 tongkol ,200
33,Jagung Putih giling,361,8.7,72.4,0,13.1,9,4.5,1 gelas,132.4
34,Jagung Putih muda,129,4.1,30.3,9,63.5,5,1.3,1 buah,10
35,Jagung Putih pipil baru,307,7.9,63.6,0,24,9,3.4,1 gelas,162.6
36,Jagung Putih pipil lama,355,9.2,73.7,0,12,10,3.9,1 gelas,153.6
37,Jagung Putih segar,140,4.7,33.1,8,60,6,1.3,1 tongkol,143.4
38,Jagung grontol,156,2.7,33.3,0,61.7,51,1.3,1 gelas,160.4
39,Jali,289,11,61,0,23.6,213,4,1 gelas,93
40,Jawawut,334,9.7,73.4,0,11.9,28,3.5,1 gelas,110
41,Kapri Muda,42,3.3,9.6,49,46.8,51,0.2,1 mangkok,119.6
42,Katul Beras,275,12.6,54.6,0,10.8,32,14.8,1 gelas,80
43,Kentang,83,2,19.1,17,77.8,11,0.1,1 biji ,100
44,Kentang Hitam,142,0.9,33.7,38,64,34,0.4,1 biji,14.2
45,Kerupuk Aci,350,0.5,85.9,0,12,0,0.2,1 buah,3
46,Ketela Pohon (singkong),146,1.2,34.7,30,62.5,33,0.3,1 potong,100
47,Ketela Pohon Kuning,157,0.8,37.9,30,60,33,0.3,1 buah,113.2
48,Maizena (pati jagung),343,0.3,85,0,14,20,0,1 sdm,5
49,Makaroni,363,8.7,78.7,0,11.7,20,0.4,1 gelas,100
50,Mie basah,86,0.6,14,0,80,14,3.3,1 gelas,100
51,Mie kering,337,7.9,50,0,28.6,49,11.8,1 gelas,50
52,Oyek (dari singkong),342,2.3,83.1,0,13.6,27,0.1,1 gelas,141.6
53,Pati Singkong (tapioka),362,0.5,86.9,0,12,0,0.3,1 sdm,5
54,Roti Putih,248,8,50,0,40,10,1.2,1 iris,20
55,Roti Warna Sawo Matang,249,7.9,49.7,0,40,20,1.5,1 potong,73.6
56,Sente,64,0.6,14.8,5,84,30,0.3,1 potong,48
57,Singkong kukus,146,1.2,34.7,15,62,33,0.3,1 potong,104
58,Singkong tape,173,0.5,42.5,0,56.1,30,0.1,1 potong ,100
59,Suweg kukus,90,1.5,21.9,0,75.5,50.2,0.1,1 potong,75.6
60,Suweg mentah,69,1,15.7,5,82,62,0.1,1 potong,102
61,Tales kukus,120,1.5,28.2,2,69.2,31,0.3,1 buah,126.6
62,Tales mentah,98,1.9,23.7,4,73,28,0.2,1 biji  ,200
63,Tepung Beras,364,7,80,0,12,5,0.5,1 sdm,6
64,Tepung Gaplek,363,1.1,88.2,0,9.1,84,0.5,1 sdm,6
65,Tepung Garut (arrowroot),355,0.7,85.2,0,13.6,8,0.2,1 sdm,18.2
66,Tepung Jagung Kuning,355,9.2,73.7,0,12,10,3.9,1 sdm,4.2
67,Tepung Jagung Putih,355,9.2,73.7,0,12,10,3.9,1 sdm,4.2
68,Tepung Kentang,347,0.3,85.6,0,13,20,0.1,1 sdm,10
69,Tepung Sagu,353,0.7,84.7,0,14,11,0.2,1 sdm,6
70,Tepung Terigu,365,8.9,77.3,0,12,16,1.3,1 sdm,5
71,Tim (nasi tim),120,2.4,26,0,0,3,0.4,1 gelas,200
72,Ubi Jalar Merah,123,1.8,27.9,22,68.5,30,0.7,1 biji,150
73,Ubi Jalar Putih,123,1.8,27.9,22,68.5,30,0.7,1 buah ,62.4
74,Ubi Jalar Rebus,114,1.4,25.6,10.2,0,27.7,9.6,1 buah ,61.4
75,Ubi Jalar Sayur,184,1.4,22.5,5.5,0,8.5,0.3,1 mangkok,264.4
76,Ubi Jalar sayur,183,1.8,22.5,5.5,0,6.5,0.3,1 mangkok,264.4
