Code,Makanan,energy (kJ),Kalori  (Kcal),protein (g),carbohydr (g),Vit. C(mg),sodium (mg),calcium (mg),Kolestrol (mg)
Z000001,Breastmilk (> 10 days post partum),288,68.833728,1.13,7,6.5,13,29,0
ZIN0001,kemiri,1154.784,276.0003047,22.4,51.7,122,452,1468,0
ZIN0002,adonan tepung beras,543.92,130.0001435,2.4,28.6,0,0,3,0
ZIN0003,adonan tepung tapioka,1594.104,381.0004206,0.3,91.3,0,9,2,0
ZIN0004,adonan tepung terigu,1522.976,364.0004019,10.3,76.3,0,2,15,0
ZIN0005,beras ketan hitam,1510.424,361.0003985,6.7,79.5,0,0,8,0
ZIN0006,beras ketan putih giling,1510.424,361.0003985,6.7,79.5,0,0,8,0
ZIN0007,beras ketan putih tumbuk,1510.424,361.0003985,6.7,79.5,0,0,8,0
ZIN0008,beras merah + beras pth campur,1418.376,339.0003743,6.6,72.9,0,1,18,0
ZIN0009,beras merah giling,1497.872,358.0003952,7.4,75.2,0,3,32,0
ZIN0010,beras merah tumbuk,1497.872,358.0003952,7.4,75.2,0,3,32,0
ZIN0011,beras putih giling,1510.424,361.0003985,6.7,79.5,0,0,8,0
ZIN0012,beras putih tumbuk,1510.424,361.0003985,6.7,79.5,0,0,8,0
ZIN0013,bihun,1594.104,381.0004206,0.3,91.3,0,9,2,0
ZIN0014,bihun goreng,991.608,237.0002616,1.9,22.9,0,0,2,0
ZIN0015,tepung beras ketan putih,1510.424,361.0003985,6.7,79.5,0,0,8,0
ZIN0016,tepung beras merah,1497.872,358.0003952,7.4,75.2,0,3,32,0
ZIN0017,temu ireng,184.096,44.00004858,1.4,10.2,5,3,22,0
ZIN0018,tepung beras,1510.424,361.0003985,6.7,79.5,0,0,8,0
ZIN0019,tepung kentang,1594.104,381.0004206,0.3,91.3,0,9,2,0
ZIN0020,tepung jagung putih,1514.608,362.0003996,8.1,76.9,0,35,6,0
ZIN0021,tepung sagu,1594.104,381.0004206,0.3,91.3,0,9,2,0
ZIN0022,tepung maizena,1594.104,381.0004206,0.3,91.3,0,9,2,0
ZIN0023,tepung jagung kuning,1514.608,362.0003996,8.1,76.9,0,35,6,0
ZIN0024,tepung garut / arrowroot,1594.104,381.0004206,0.3,91.3,0,9,2,0
ZIN0025,tepung gaplek,1313.776,314.0003467,2.6,76.6,72,5,46,0
ZIN0026,tepung tapioka,1594.104,381.0004206,0.3,91.3,0,9,2,0
ZIN0027,tepung terigu,1522.976,364.0004019,10.3,76.3,0,2,15,0
ZIN0028,blendung/ brontol,2510.4,600.0006624,4.6,75.1,0,11,6,0
ZIN0029,ubi jalar merah,430.952,103.0001137,1.7,24.3,25,10,28,0
ZIN0030,ubi jalar kuning,426.768,102.0001126,2.1,24.3,14,4,11,0
ZIN0031,ubi jalar ungu,468.608,112.0001236,2.4,26.3,14,3,9,0
ZIN0032,ubi jalar putih,468.608,112.0001236,2.4,26.3,14,3,9,0
ZIN0033,uwi,405.848,97.00010709,2.1,22.9,12,3,8,0
ZIN0034,bubur buatan pabrik,1556.448,372.0004107,15.6,64.8,0,6,48,0
ZIN0035,campuran beras,1510.424,361.0003985,6.7,79.5,0,0,8,0
ZIN0036,cantel,1389.088,332.0003665,10.3,73.7,0,7,25,0
ZIN0037,gadung mentah,405.848,97.00010709,2.1,22.9,12,3,8,0
ZIN0038,ganyong mentah,343.088,82.00009053,1.8,19.5,10,3,7,0
ZIN0039,gaplek,1313.776,314.0003467,2.6,76.6,72,5,46,0
ZIN0040,garut / irut mentah,1054.368,252.0002782,5.5,59.5,31,8,21,0
ZIN0041,gembili / mbolo,405.848,97.00010709,2.1,22.9,12,3,8,0
ZIN0042,intip,707.096,169.0001866,3.1,37.2,0,0,4,0
ZIN0043,jagung kuning pipil baru,451.872,108.0001192,3.3,25.1,6,17,2,0
ZIN0044,jagung kuning pipil lama,1514.608,362.0003996,8.1,76.9,0,35,6,0
ZIN0045,jagung kuning segar,451.872,108.0001192,3.3,25.1,6,17,2,0
ZIN0046,jagung muda berjanggel,246.856,59.00006514,1.8,13.8,3,9,1,0
ZIN0047,jagung putih pipil baru,451.872,108.0001192,3.3,25.1,6,17,2,0
ZIN0048,jagung putih pipil lama,1514.608,362.0003996,8.1,76.9,0,35,6,0
ZIN0049,jagung putih segar,451.872,108.0001192,3.3,25.1,6,17,2,0
ZIN0050,kathul beras merah,903.744,216.0002385,15.6,64.5,0,2,73,0
ZIN0051,katul beras,903.744,216.0002385,15.6,64.5,0,2,73,0
ZIN0052,kentang,389.112,93.00010267,2,21.6,13,5,5,0
ZIN0053,kentang hitam,389.112,93.00010267,2,21.6,13,5,5,0
ZIN0054,kimpul mentah,468.608,112.0001236,2.4,26.3,14,3,9,0
ZIN0055,krecek irut,1460.216,349.0003853,7.6,82.4,43,11,29,0
ZIN0056,makaroni,1476.952,353.0003897,12,70.8,0,3,18,0
ZIN0057,martabak manis,928.848,222.0002451,2.5,15.2,0,25,10,85
ZIN0058,mie + bakso (6) + kuah,619.232,148.0001634,11.7,19.8,0,21,7,28
ZIN0059,mie + kuah,589.944,141.0001557,4.8,28.3,0,1,7,0
